txn_id,user_id,device_id,merchant_id,amount,is_fraud,ts,city
T0,U128,D18,M1,1807,0,2025-01-17T05:06:44,Mumbai
T1,U197,D31,M67,3610,0,2025-01-15T20:35:43,Chennai
T2,U122,D16,M37,2427,0,2025-01-26T13:01:43,Delhi
T3,U97,D69,M85,2030,0,2025-01-24T08:36:03,Chennai
T4,U143,D96,M72,1247,0,2025-01-23T04:07:11,Chennai
T5,U92,D2,M19,2911,0,2025-01-25T20:53:35,Chennai
T6,U146,D89,M66,246,0,2025-01-26T13:48:19,Hyderabad
T7,U51,D32,M39,2485,0,2025-01-24T12:49:10,Hyderabad
T8,U184,D88,M49,4161,0,2025-01-13T05:32:11,Mumbai
T9,U6,D15,M89,723,0,2025-01-07T10:03:14,Delhi
T10,U59,D1,M0,3823,0,2025-01-02T16:57:23,Delhi
T11,U159,D8,M98,1782,0,2025-01-02T08:43:16,Hyderabad
T12,U53,D32,M23,4823,0,2025-01-19T06:39:19,Chennai
T13,U199,D35,M37,4299,0,2025-01-05T09:08:00,Hyderabad
T14,U111,D88,M98,2300,0,2025-01-21T06:44:50,Delhi
T15,U53,D34,M79,1056,0,2025-01-14T00:48:01,Delhi
T16,U160,D67,M32,4593,0,2025-01-08T03:47:47,Delhi
T17,U147,D7,M6,1318,0,2025-01-06T13:20:47,Delhi
T18,U32,D47,M75,1054,0,2025-01-23T01:14:39,Chennai
T19,U118,D21,M29,3536,0,2025-01-30T08:24:53,Chennai
T20,U7,D26,M26,325,0,2025-01-23T02:53:41,Delhi
T21,U27,D63,M96,4648,0,2025-01-29T10:33:04,Hyderabad
T22,U146,D3,M34,3220,0,2025-01-09T10:45:03,Hyderabad
T23,U171,D91,M29,2624,0,2025-01-18T12:58:56,Mumbai
T24,U123,D36,M23,3520,0,2025-01-03T01:31:14,Delhi
T25,U180,D94,M98,799,0,2025-01-02T12:29:33,Delhi
T26,U190,D84,M31,1284,0,2025-01-08T12:05:07,Hyderabad
T27,U17,D24,M94,669,0,2025-01-28T05:07:11,Chennai
T28,U23,D31,M46,3001,0,2025-01-06T03:38:21,Chennai
T29,U126,D26,M1,4157,0,2025-01-22T15:39:45,Delhi
T30,U160,D8,M42,4441,0,2025-01-02T20:07:03,Hyderabad
T31,U169,D25,M98,1941,0,2025-01-05T06:07:34,Delhi
T32,U12,D59,M6,4231,0,2025-01-10T05:24:39,Delhi
T33,U7,D15,M13,1071,0,2025-01-28T08:01:04,Chennai
T34,U142,D91,M97,2874,0,2025-01-06T04:43:02,Chennai
T35,U152,D57,M62,3361,0,2025-01-02T09:00:34,Delhi
T36,U57,D57,M85,1815,0,2025-01-04T07:07:01,Mumbai
T37,U14,D53,M59,2760,0,2025-01-17T15:35:33,Delhi
T38,U59,D4,M67,4969,0,2025-01-23T23:33:08,Delhi
T39,U115,D93,M46,4464,0,2025-01-03T04:36:47,Mumbai
T40,U144,D62,M18,3775,0,2025-01-03T13:54:26,Mumbai
T41,U89,D89,M61,2938,0,2025-01-17T11:21:26,Chennai
T42,U128,D57,M0,2949,0,2025-01-02T03:50:35,Hyderabad
T43,U117,D47,M88,4683,0,2025-01-20T19:29:01,Delhi
T44,U15,D60,M63,1570,0,2025-01-29T14:19:44,Delhi
T45,U92,D66,M75,4349,0,2025-01-20T12:24:53,Hyderabad
T46,U85,D56,M28,4145,0,2025-01-23T00:54:10,Hyderabad
T47,U46,D93,M61,3159,0,2025-01-06T04:19:16,Delhi
T48,U143,D89,M89,2579,0,2025-01-27T21:27:39,Delhi
T49,U32,D93,M22,2949,0,2025-01-30T21:15:15,Hyderabad
T50,U137,D18,M57,1731,0,2025-01-30T06:55:26,Delhi
T51,U68,D3,M15,2939,0,2025-01-16T15:44:55,Hyderabad
T52,U127,D31,M90,951,0,2025-01-08T03:56:32,Hyderabad
T53,U177,D34,M32,4100,0,2025-01-21T09:46:51,Delhi
T54,U100,D11,M66,4013,0,2025-01-17T06:05:30,Chennai
T55,U28,D12,M11,3473,0,2025-01-24T19:02:03,Mumbai
T56,U34,D86,M80,4285,0,2025-01-05T11:09:37,Hyderabad
T57,U89,D33,M6,3367,0,2025-01-08T09:27:53,Mumbai
T58,U113,D74,M28,828,0,2025-01-23T06:36:36,Delhi
T59,U137,D72,M23,2886,0,2025-01-06T23:32:51,Delhi
T60,U35,D81,M95,1787,0,2025-01-11T01:31:14,Chennai
T61,U36,D11,M54,2426,0,2025-01-05T15:16:13,Delhi
T62,U29,D16,M61,695,0,2025-01-30T01:42:00,Hyderabad
T63,U18,D48,M99,495,0,2025-01-01T18:23:54,Delhi
T64,U146,D75,M8,2602,0,2025-01-06T09:29:12,Hyderabad
T65,U127,D51,M82,3677,0,2025-01-01T14:25:34,Chennai
T66,U116,D68,M98,4591,0,2025-01-14T17:59:43,Delhi
T67,U52,D22,M15,2716,0,2025-01-21T22:44:51,Chennai
T68,U180,D41,M57,3082,0,2025-01-20T04:15:40,Mumbai
T69,U132,D34,M86,832,0,2025-01-11T07:04:25,Chennai
T70,U8,D73,M57,2639,0,2025-01-21T13:23:23,Delhi
T71,U6,D45,M12,1291,0,2025-01-27T16:21:16,Mumbai
T72,U177,D26,M65,1640,0,2025-01-09T07:30:16,Delhi
T73,U135,D64,M85,599,0,2025-01-16T11:34:42,Delhi
T74,U44,D3,M35,3241,0,2025-01-24T05:19:02,Hyderabad
T75,U18,D60,M53,2314,0,2025-01-25T12:03:42,Chennai
T76,U18,D38,M66,4368,0,2025-01-06T04:32:25,Delhi
T77,U57,D19,M91,555,0,2025-01-10T03:29:01,Delhi
T78,U104,D38,M0,2096,0,2025-01-27T02:01:34,Hyderabad
T79,U190,D24,M55,1028,0,2025-01-13T20:23:25,Mumbai
T80,U57,D43,M44,1952,0,2025-01-17T11:59:01,Chennai
T81,U79,D84,M74,2911,0,2025-01-26T18:08:20,Delhi
T82,U146,D19,M56,1356,0,2025-01-04T00:09:07,Delhi
T83,U142,D30,M0,1496,0,2025-01-22T16:23:41,Mumbai
T84,U2,D15,M86,1453,0,2025-01-17T09:37:57,Hyderabad
T85,U199,D75,M23,767,0,2025-01-13T06:19:59,Delhi
T86,U121,D91,M35,4285,0,2025-01-02T20:39:35,Hyderabad
T87,U100,D40,M99,3875,0,2025-01-16T13:20:27,Chennai
T88,U144,D72,M32,2608,0,2025-01-05T10:38:54,Hyderabad
T89,U156,D12,M45,3424,0,2025-01-23T08:40:15,Mumbai
T90,U114,D68,M46,2044,0,2025-01-29T21:21:21,Mumbai
T91,U29,D4,M32,4569,0,2025-01-06T12:46:47,Delhi
T92,U10,D84,M25,4258,0,2025-01-02T07:20:16,Delhi
T93,U58,D26,M48,4100,0,2025-01-10T08:05:41,Mumbai
T94,U128,D20,M54,4713,0,2025-01-04T03:14:06,Hyderabad
T95,U196,D94,M4,1560,0,2025-01-20T22:25:20,Chennai
T96,U52,D36,M73,4278,0,2025-01-22T12:15:32,Delhi
T97,U109,D0,M50,4880,0,2025-01-18T08:09:49,Delhi
T98,U189,D64,M31,2181,0,2025-01-10T18:18:43,Hyderabad
T99,U71,D38,M25,349,0,2025-01-06T20:32:30,Mumbai
T100,U122,D49,M11,2084,0,2025-01-16T17:57:22,Mumbai
T101,U132,D93,M93,4958,0,2025-01-10T22:59:55,Delhi
T102,U111,D46,M22,3378,0,2025-01-06T13:48:00,Delhi
T103,U141,D65,M74,4630,0,2025-01-10T13:29:56,Chennai
T104,U37,D49,M97,1458,0,2025-01-04T18:55:59,Chennai
T105,U190,D97,M51,4444,0,2025-01-10T00:52:02,Mumbai
T106,U78,D29,M50,2228,0,2025-01-23T08:44:07,Delhi
T107,U131,D9,M55,3572,0,2025-01-29T12:01:32,Mumbai
T108,U83,D87,M68,2693,0,2025-01-19T01:08:32,Mumbai
T109,U193,D76,M42,3923,0,2025-01-22T09:43:16,Chennai
T110,U150,D54,M79,3545,0,2025-01-08T15:46:54,Hyderabad
T111,U131,D3,M55,380,0,2025-01-13T09:57:27,Chennai
T112,U194,D26,M92,771,0,2025-01-15T14:57:35,Mumbai
T113,U121,D50,M18,4799,0,2025-01-19T12:53:16,Mumbai
T114,U21,D20,M69,623,0,2025-01-13T13:27:24,Mumbai
T115,U176,D77,M89,2396,0,2025-01-01T14:22:25,Chennai
T116,U55,D93,M62,4243,0,2025-01-15T03:41:09,Delhi
T117,U35,D0,M7,4820,0,2025-01-26T09:00:09,Chennai
T118,U46,D55,M85,625,0,2025-01-19T03:23:58,Mumbai
T119,U77,D87,M1,464,0,2025-01-10T10:25:31,Mumbai
T120,U186,D55,M6,1746,0,2025-01-28T08:38:37,Chennai
T121,U17,D37,M98,2006,0,2025-01-30T11:13:46,Chennai
T122,U118,D27,M73,1162,0,2025-01-19T17:45:35,Delhi
T123,U85,D89,M43,4732,0,2025-01-26T09:03:34,Delhi
T124,U24,D67,M9,166,0,2025-01-08T15:02:36,Delhi
T125,U145,D99,M85,4818,0,2025-01-20T15:38:20,Hyderabad
T126,U112,D82,M41,2572,0,2025-01-30T17:21:43,Delhi
T127,U25,D63,M97,3614,0,2025-01-12T14:22:43,Hyderabad
T128,U108,D69,M32,1560,0,2025-01-10T23:35:22,Mumbai
T129,U69,D3,M93,3617,0,2025-01-26T14:52:53,Mumbai
T130,U94,D23,M54,1260,0,2025-01-10T23:35:57,Chennai
T131,U30,D39,M35,1019,0,2025-01-05T20:07:14,Chennai
T132,U65,D83,M91,4270,0,2025-01-07T06:11:17,Hyderabad
T133,U133,D93,M50,4389,0,2025-01-21T17:43:42,Chennai
T134,U25,D50,M44,1241,0,2025-01-17T02:05:59,Hyderabad
T135,U19,D11,M46,2148,0,2025-01-15T07:48:35,Mumbai
T136,U63,D37,M36,2017,0,2025-01-11T00:15:09,Chennai
T137,U99,D76,M2,3844,0,2025-01-19T13:51:58,Mumbai
T138,U9,D4,M22,1773,0,2025-01-09T06:32:23,Hyderabad
T139,U12,D39,M1,1719,0,2025-01-28T18:25:05,Delhi
T140,U100,D72,M16,2924,0,2025-01-08T14:25:02,Chennai
T141,U151,D37,M34,3777,0,2025-01-26T08:23:42,Chennai
T142,U61,D59,M49,4529,0,2025-01-08T00:50:12,Delhi
T143,U136,D33,M75,1670,0,2025-01-20T19:41:43,Delhi
T144,U59,D63,M92,3950,0,2025-01-13T15:28:21,Delhi
T145,U13,D59,M29,1414,0,2025-01-25T22:49:08,Delhi
T146,U82,D77,M25,2721,0,2025-01-07T01:04:04,Hyderabad
T147,U41,D88,M17,2443,0,2025-01-13T07:10:36,Hyderabad
T148,U178,D37,M96,4770,0,2025-01-13T14:18:07,Chennai
T149,U152,D16,M96,3154,0,2025-01-17T19:02:56,Chennai
T150,U52,D50,M38,2070,0,2025-01-30T00:52:29,Mumbai
T151,U66,D6,M50,2135,0,2025-01-19T20:09:41,Mumbai
T152,U154,D35,M28,2697,0,2025-01-17T19:07:18,Delhi
T153,U154,D54,M32,2343,0,2025-01-10T20:58:08,Mumbai
T154,U9,D4,M73,3012,0,2025-01-10T18:53:53,Mumbai
T155,U158,D46,M99,3328,0,2025-01-18T07:49:32,Hyderabad
T156,U156,D46,M67,2991,0,2025-01-26T00:32:04,Delhi
T157,U154,D94,M35,893,0,2025-01-16T09:48:49,Chennai
T158,U68,D19,M10,3425,0,2025-01-20T17:06:34,Mumbai
T159,U133,D71,M22,914,0,2025-01-20T02:06:29,Mumbai
T160,U106,D11,M89,2288,0,2025-01-01T21:07:57,Hyderabad
T161,U110,D59,M42,3631,0,2025-01-02T10:58:05,Hyderabad
T162,U132,D36,M71,226,0,2025-01-18T23:35:31,Mumbai
T163,U30,D8,M50,3633,0,2025-01-06T18:58:35,Hyderabad
T164,U10,D22,M0,2961,0,2025-01-30T14:54:32,Delhi
T165,U89,D35,M53,3130,0,2025-01-24T04:12:04,Delhi
T166,U62,D53,M54,36694,1,2025-01-06T17:23:12,Delhi
T167,U179,D56,M25,674,0,2025-01-25T22:31:37,Hyderabad
T168,U89,D74,M37,485,0,2025-01-15T05:28:56,Chennai
T169,U161,D90,M16,1054,0,2025-01-14T14:18:57,Hyderabad
T170,U181,D23,M24,2090,0,2025-01-12T12:48:50,Hyderabad
T171,U28,D62,M21,2813,0,2025-01-05T10:25:52,Hyderabad
T172,U48,D70,M80,3532,0,2025-01-23T10:35:00,Delhi
T173,U85,D91,M62,1824,0,2025-01-28T22:02:29,Hyderabad
T174,U70,D0,M95,3312,0,2025-01-13T00:34:56,Mumbai
T175,U122,D55,M82,3489,0,2025-01-02T13:05:54,Hyderabad
T176,U28,D48,M44,1600,0,2025-01-23T18:53:17,Mumbai
T177,U18,D17,M0,3157,0,2025-01-20T06:54:31,Mumbai
T178,U112,D93,M37,1046,0,2025-01-14T17:31:33,Chennai
T179,U128,D7,M28,4250,0,2025-01-22T23:49:23,Chennai
T180,U31,D9,M73,2001,0,2025-01-16T17:38:10,Mumbai
T181,U86,D54,M91,1923,0,2025-01-27T09:33:47,Mumbai
T182,U66,D87,M86,2590,0,2025-01-15T12:56:22,Chennai
T183,U71,D53,M66,3775,0,2025-01-09T21:54:04,Chennai
T184,U161,D34,M95,1411,0,2025-01-06T11:12:07,Hyderabad
T185,U143,D67,M36,4377,0,2025-01-11T09:58:05,Delhi
T186,U54,D47,M81,4525,0,2025-01-08T01:46:53,Chennai
T187,U150,D84,M18,3795,0,2025-01-28T11:48:48,Delhi
T188,U35,D28,M59,4277,0,2025-01-24T05:45:54,Mumbai
T189,U46,D68,M19,3694,0,2025-01-24T06:02:40,Mumbai
T190,U118,D11,M19,904,0,2025-01-23T10:17:58,Mumbai
T191,U136,D97,M52,3677,0,2025-01-20T17:40:15,Mumbai
T192,U23,D80,M73,2779,0,2025-01-23T23:04:11,Chennai
T193,U127,D95,M80,4053,0,2025-01-02T01:01:33,Chennai
T194,U8,D39,M65,336,0,2025-01-07T02:21:01,Delhi
T195,U21,D3,M25,541,0,2025-01-04T17:41:58,Delhi
T196,U74,D69,M17,2275,0,2025-01-29T04:03:48,Delhi
T197,U99,D40,M37,2181,0,2025-01-30T21:22:49,Delhi
T198,U121,D75,M86,441,0,2025-01-03T15:28:24,Delhi
T199,U56,D30,M5,4926,0,2025-01-01T14:13:46,Hyderabad
T200,U52,D70,M9,1808,0,2025-01-15T04:41:16,Delhi
T201,U189,D45,M63,4325,0,2025-01-05T04:57:56,Hyderabad
T202,U35,D25,M28,248,0,2025-01-25T12:25:24,Chennai
T203,U163,D58,M38,1350,0,2025-01-11T03:20:31,Mumbai
